,date,sales
305,2013-11-02,25569
306,2013-11-03,27266
307,2013-11-04,18215
308,2013-11-05,21255
309,2013-11-06,21044
310,2013-11-07,22521
311,2013-11-08,24466
312,2013-11-09,25864
313,2013-11-10,27191
314,2013-11-11,18375
315,2013-11-12,21249
316,2013-11-13,21174
317,2013-11-14,22555
318,2013-11-15,24262
319,2013-11-16,25710
320,2013-11-17,27248
321,2013-11-18,18251
322,2013-11-19,21276
323,2013-11-20,21413
324,2013-11-21,22566
325,2013-11-22,24461
326,2013-11-23,25820
327,2013-11-24,27319
328,2013-11-25,18260
329,2013-11-26,21145
330,2013-11-27,21306
331,2013-11-28,22574
332,2013-11-29,24308
333,2013-11-30,25703
334,2013-12-01,19357
335,2013-12-02,13141
336,2013-12-03,15226
337,2013-12-04,15280
338,2013-12-05,16227
339,2013-12-06,17429
340,2013-12-07,18609
341,2013-12-08,19287
342,2013-12-09,12942
343,2013-12-10,15171
344,2013-12-11,15230
345,2013-12-12,16316
346,2013-12-13,17284
347,2013-12-14,18335
348,2013-12-15,19738
349,2013-12-16,13088
350,2013-12-17,14975
351,2013-12-18,15104
352,2013-12-19,16132
353,2013-12-20,17173
354,2013-12-21,18511
355,2013-12-22,19693
356,2013-12-23,13038
357,2013-12-24,15126
358,2013-12-25,15351
359,2013-12-26,16214
360,2013-12-27,17047
361,2013-12-28,18433
362,2013-12-29,19148
363,2013-12-30,12958
364,2013-12-31,15044
365,2014-01-01,15556
366,2014-01-02,17033
367,2014-01-03,17746
368,2014-01-04,19184
369,2014-01-05,20182
370,2014-01-06,13438
371,2014-01-07,15664
372,2014-01-08,15682
373,2014-01-09,16975
374,2014-01-10,17957
375,2014-01-11,18925
376,2014-01-12,19973
377,2014-01-13,13408
378,2014-01-14,15738
379,2014-01-15,15590
380,2014-01-16,17015
381,2014-01-17,17888
382,2014-01-18,18964
383,2014-01-19,20093
384,2014-01-20,13520
385,2014-01-21,15484
386,2014-01-22,15725
387,2014-01-23,16746
388,2014-01-24,18260
389,2014-01-25,19179
390,2014-01-26,20232
391,2014-01-27,13469
392,2014-01-28,15725
393,2014-01-29,15664
394,2014-01-30,16899
395,2014-01-31,18073
396,2014-02-01,21074
397,2014-02-02,22709
398,2014-02-03,15055
399,2014-02-04,17488
400,2014-02-05,17763
401,2014-02-06,18836
402,2014-02-07,19780
403,2014-02-08,21400
404,2014-02-09,22544
405,2014-02-10,14817
406,2014-02-11,17457
407,2014-02-12,17386
408,2014-02-13,18565
409,2014-02-14,19992
410,2014-02-15,21063
411,2014-02-16,22409
412,2014-02-17,14814
413,2014-02-18,17407
414,2014-02-19,17556
415,2014-02-20,18755
416,2014-02-21,19872
417,2014-02-22,21066
418,2014-02-23,22515
419,2014-02-24,15126
420,2014-02-25,17419
421,2014-02-26,17682
422,2014-02-27,18602
423,2014-02-28,19965
424,2014-03-01,25245
425,2014-03-02,26956
426,2014-03-03,17983
427,2014-03-04,21160
428,2014-03-05,21097
429,2014-03-06,22364
430,2014-03-07,24118
431,2014-03-08,25273
432,2014-03-09,26992
433,2014-03-10,17878
434,2014-03-11,20909
435,2014-03-12,20798
436,2014-03-13,22427
437,2014-03-14,24076
438,2014-03-15,25687
439,2014-03-16,26959
440,2014-03-17,17885
441,2014-03-18,20876
442,2014-03-19,20864
443,2014-03-20,22165
444,2014-03-21,23846
445,2014-03-22,25458
446,2014-03-23,26990
447,2014-03-24,17895
448,2014-03-25,20666
449,2014-03-26,21021
450,2014-03-27,22387
451,2014-03-28,23942
452,2014-03-29,25452
453,2014-03-30,26951
454,2014-03-31,17981
455,2014-04-01,24103
456,2014-04-02,24301
457,2014-04-03,26418
458,2014-04-04,27696
459,2014-04-05,29703
460,2014-04-06,31780
461,2014-04-07,20951
462,2014-04-08,24539
463,2014-04-09,24431
464,2014-04-10,26201
465,2014-04-11,27741
466,2014-04-12,29516
467,2014-04-13,31455
468,2014-04-14,20991
469,2014-04-15,24536
470,2014-04-16,24438
471,2014-04-17,26447
472,2014-04-18,27681
473,2014-04-19,29683
474,2014-04-20,31447
475,2014-04-21,20859
476,2014-04-22,24655
477,2014-04-23,24392
478,2014-04-24,25999
479,2014-04-25,27897
480,2014-04-26,29580
481,2014-04-27,31587
482,2014-04-28,20836
483,2014-04-29,24516
484,2014-04-30,24535
485,2014-05-01,28151
486,2014-05-02,30139
487,2014-05-03,31794
488,2014-05-04,33676
489,2014-05-05,22378
490,2014-05-06,26479
491,2014-05-07,25984
492,2014-05-08,27778
493,2014-05-09,29749
494,2014-05-10,31806
495,2014-05-11,33507
496,2014-05-12,22696
497,2014-05-13,26378
498,2014-05-14,26333
499,2014-05-15,28119
500,2014-05-16,29776
501,2014-05-17,32158
502,2014-05-18,33673
503,2014-05-19,22323
504,2014-05-20,26124
505,2014-05-21,26264
506,2014-05-22,27950
507,2014-05-23,29521
508,2014-05-24,31836
509,2014-05-25,33514
510,2014-05-26,22496
511,2014-05-27,26289
512,2014-05-28,26186
513,2014-05-29,28034
514,2014-05-30,30031
515,2014-05-31,31735
516,2014-06-01,35900
517,2014-06-02,23934
518,2014-06-03,27617
519,2014-06-04,28218
520,2014-06-05,29873
521,2014-06-06,31662
522,2014-06-07,33478
523,2014-06-08,35783
524,2014-06-09,23951
525,2014-06-10,28081
526,2014-06-11,27903
527,2014-06-12,29754
528,2014-06-13,31897
529,2014-06-14,34206
530,2014-06-15,36461
531,2014-06-16,24053
532,2014-06-17,28005
533,2014-06-18,28032
534,2014-06-19,30049
535,2014-06-20,32021
536,2014-06-21,34410
537,2014-06-22,35673
538,2014-06-23,24196
539,2014-06-24,27551
540,2014-06-25,28036
541,2014-06-26,30294
542,2014-06-27,32013
543,2014-06-28,34048
544,2014-06-29,35998
545,2014-06-30,23745
546,2014-07-01,29579
547,2014-07-02,29762
548,2014-07-03,31782
549,2014-07-04,33961
550,2014-07-05,36006
551,2014-07-06,38209
552,2014-07-07,25578
553,2014-07-08,29800
554,2014-07-09,29318
555,2014-07-10,31885
556,2014-07-11,33769
557,2014-07-12,36069
558,2014-07-13,37848
559,2014-07-14,25248
560,2014-07-15,29718
561,2014-07-16,29528
562,2014-07-17,31792
563,2014-07-18,34170
564,2014-07-19,35808
565,2014-07-20,38144
566,2014-07-21,25612
567,2014-07-22,29399
568,2014-07-23,29268
569,2014-07-24,31646
570,2014-07-25,34104
571,2014-07-26,36260
572,2014-07-27,38318
573,2014-07-28,25322
574,2014-07-29,29621
575,2014-07-30,29711
576,2014-07-31,31775
577,2014-08-01,29642
578,2014-08-02,31897
579,2014-08-03,33246
580,2014-08-04,22345
581,2014-08-05,26079
582,2014-08-06,26257
583,2014-08-07,27901
584,2014-08-08,29827
585,2014-08-09,31695
586,2014-08-10,33779
587,2014-08-11,22391
588,2014-08-12,26083
589,2014-08-13,26014
590,2014-08-14,28076
591,2014-08-15,29659
592,2014-08-16,31769
593,2014-08-17,33894
594,2014-08-18,22459
595,2014-08-19,26039
596,2014-08-20,26100
597,2014-08-21,27962
598,2014-08-22,29512
599,2014-08-23,31607
600,2014-08-24,33539
601,2014-08-25,22324
602,2014-08-26,26317
603,2014-08-27,26085
604,2014-08-28,27809
605,2014-08-29,29959
606,2014-08-30,31719
607,2014-08-31,33611
608,2014-09-01,20772
609,2014-09-02,24341
610,2014-09-03,24387
611,2014-09-04,26218
612,2014-09-05,28026
613,2014-09-06,29445
614,2014-09-07,31581
615,2014-09-08,20996
616,2014-09-09,24486
617,2014-09-10,24514
618,2014-09-11,25909
619,2014-09-12,27723
620,2014-09-13,29808
621,2014-09-14,31629
622,2014-09-15,21119
623,2014-09-16,24443
624,2014-09-17,24439
625,2014-09-18,26266
626,2014-09-19,28130
627,2014-09-20,29770
628,2014-09-21,31388
629,2014-09-22,21022
630,2014-09-23,24423
631,2014-09-24,24220
632,2014-09-25,26262
633,2014-09-26,27575
634,2014-09-27,29745
635,2014-09-28,31266
636,2014-09-29,20932
637,2014-09-30,24289
638,2014-10-01,22672
639,2014-10-02,24589
640,2014-10-03,25866
641,2014-10-04,27581
642,2014-10-05,29000
643,2014-10-06,19523
644,2014-10-07,22345
645,2014-10-08,22866
646,2014-10-09,24245
647,2014-10-10,25736
648,2014-10-11,27251
649,2014-10-12,29066
650,2014-10-13,19517
651,2014-10-14,22779
652,2014-10-15,22462
653,2014-10-16,23929
654,2014-10-17,25753
655,2014-10-18,27647
656,2014-10-19,29173
657,2014-10-20,19415
658,2014-10-21,22814
659,2014-10-22,22864
660,2014-10-23,24325
661,2014-10-24,25959
662,2014-10-25,27547
663,2014-10-26,29107
664,2014-10-27,19401
665,2014-10-28,22657
666,2014-10-29,22680
667,2014-10-30,24211
668,2014-10-31,25903
669,2014-11-01,29728
670,2014-11-02,31225
671,2014-11-03,21085
672,2014-11-04,24251
673,2014-11-05,24300
674,2014-11-06,26394
675,2014-11-07,27867
676,2014-11-08,29582
677,2014-11-09,31175
678,2014-11-10,20722
679,2014-11-11,24552
680,2014-11-12,24561
681,2014-11-13,26238
682,2014-11-14,28003
683,2014-11-15,29736
684,2014-11-16,31354
685,2014-11-17,20880
686,2014-11-18,24357
687,2014-11-19,24476
688,2014-11-20,26057
689,2014-11-21,27690
690,2014-11-22,29744
691,2014-11-23,31505
692,2014-11-24,21103
693,2014-11-25,24492
694,2014-11-26,24623
695,2014-11-27,26079
696,2014-11-28,28029
697,2014-11-29,29651
698,2014-11-30,31324
699,2014-12-01,14986
700,2014-12-02,17517
701,2014-12-03,17328
702,2014-12-04,18689
703,2014-12-05,19966
704,2014-12-06,21245
705,2014-12-07,22015
706,2014-12-08,15057
707,2014-12-09,17656
708,2014-12-10,17429
709,2014-12-11,18691
710,2014-12-12,19874
711,2014-12-13,21291
712,2014-12-14,22468
713,2014-12-15,14756
714,2014-12-16,17518
715,2014-12-17,17689
716,2014-12-18,18733
717,2014-12-19,20006
718,2014-12-20,20945
719,2014-12-21,22497
720,2014-12-22,15052
721,2014-12-23,17498
722,2014-12-24,17274
723,2014-12-25,18607
724,2014-12-26,19879
725,2014-12-27,21317
726,2014-12-28,22532
727,2014-12-29,14888
728,2014-12-30,17407
729,2014-12-31,17238
730,2015-01-01,17226
731,2015-01-02,18719
732,2015-01-03,19798
733,2015-01-04,21101
734,2015-01-05,14235
735,2015-01-06,16424
736,2015-01-07,16273
737,2015-01-08,17687
738,2015-01-09,18816
739,2015-01-10,19939
740,2015-01-11,21161
741,2015-01-12,13968
742,2015-01-13,16418
743,2015-01-14,16542
744,2015-01-15,17596
745,2015-01-16,18490
746,2015-01-17,19967
747,2015-01-18,21025
748,2015-01-19,14168
749,2015-01-20,16309
750,2015-01-21,16381
751,2015-01-22,17630
752,2015-01-23,18720
753,2015-01-24,19820
754,2015-01-25,21212
755,2015-01-26,14069
756,2015-01-27,16418
757,2015-01-28,16457
758,2015-01-29,17272
759,2015-01-30,18772
760,2015-01-31,19900
761,2015-02-01,23395
762,2015-02-02,15583
763,2015-02-03,18109
764,2015-02-04,18129
765,2015-02-05,19549
766,2015-02-06,20807
767,2015-02-07,22209
768,2015-02-08,23586
769,2015-02-09,15756
770,2015-02-10,18379
771,2015-02-11,18330
772,2015-02-12,19513
773,2015-02-13,20586
774,2015-02-14,22041
775,2015-02-15,23276
776,2015-02-16,15509
777,2015-02-17,18261
778,2015-02-18,18167
779,2015-02-19,19773
780,2015-02-20,20843
781,2015-02-21,22021
782,2015-02-22,23501
783,2015-02-23,15493
784,2015-02-24,18100
785,2015-02-25,18161
786,2015-02-26,19592
787,2015-02-27,20709
788,2015-02-28,21939
789,2015-03-01,28266
790,2015-03-02,18676
791,2015-03-03,21866
792,2015-03-04,21850
793,2015-03-05,23536
794,2015-03-06,24881
795,2015-03-07,26729
796,2015-03-08,28151
797,2015-03-09,18575
798,2015-03-10,21732
799,2015-03-11,21864
800,2015-03-12,23506
801,2015-03-13,25084
802,2015-03-14,26436
803,2015-03-15,28128
804,2015-03-16,18880
805,2015-03-17,21806
806,2015-03-18,21819
807,2015-03-19,23176
808,2015-03-20,25513
809,2015-03-21,26611
810,2015-03-22,28296
811,2015-03-23,18606
812,2015-03-24,21887
813,2015-03-25,21688
814,2015-03-26,23218
815,2015-03-27,24810
816,2015-03-28,26389
817,2015-03-29,28255
818,2015-03-30,18910
819,2015-03-31,21807
820,2015-04-01,25302
821,2015-04-02,27441
822,2015-04-03,29424
823,2015-04-04,30829
824,2015-04-05,32725
825,2015-04-06,21875
826,2015-04-07,25554
827,2015-04-08,25013
828,2015-04-09,27528
829,2015-04-10,29001
830,2015-04-11,31027
831,2015-04-12,32972
832,2015-04-13,21687
833,2015-04-14,25281
834,2015-04-15,25078
835,2015-04-16,27477
836,2015-04-17,29424
837,2015-04-18,31103
838,2015-04-19,33013
839,2015-04-20,21693
840,2015-04-21,25243
841,2015-04-22,25459
842,2015-04-23,27391
843,2015-04-24,29015
844,2015-04-25,30837
845,2015-04-26,32965
846,2015-04-27,21792
847,2015-04-28,25437
848,2015-04-29,25375
849,2015-04-30,27506
850,2015-05-01,31268
851,2015-05-02,33053
852,2015-05-03,34732
853,2015-05-04,23355
854,2015-05-05,27256
855,2015-05-06,27375
856,2015-05-07,29216
857,2015-05-08,31214
858,2015-05-09,33102
859,2015-05-10,35067
860,2015-05-11,23295
861,2015-05-12,27255
862,2015-05-13,27244
863,2015-05-14,29545
864,2015-05-15,31220
865,2015-05-16,33216
866,2015-05-17,35300
867,2015-05-18,23409
868,2015-05-19,27512
869,2015-05-20,27574
870,2015-05-21,29428
871,2015-05-22,30977
872,2015-05-23,33135
873,2015-05-24,35124
874,2015-05-25,23434
875,2015-05-26,27535
876,2015-05-27,27340
877,2015-05-28,29231
878,2015-05-29,31379
879,2015-05-30,33074
880,2015-05-31,35037
881,2015-06-01,24904
882,2015-06-02,29260
883,2015-06-03,29111
884,2015-06-04,31413
885,2015-06-05,33351
886,2015-06-06,35314
887,2015-06-07,37528
888,2015-06-08,24907
889,2015-06-09,29264
890,2015-06-10,29056
891,2015-06-11,31403
892,2015-06-12,33313
893,2015-06-13,35597
894,2015-06-14,37802
895,2015-06-15,24819
896,2015-06-16,29246
897,2015-06-17,29104
898,2015-06-18,31188
899,2015-06-19,33201
900,2015-06-20,35337
901,2015-06-21,37431
902,2015-06-22,24773
903,2015-06-23,29165
904,2015-06-24,29154
905,2015-06-25,31048
906,2015-06-26,33415
907,2015-06-27,35251
908,2015-06-28,37410
909,2015-06-29,25074
910,2015-06-30,29345
911,2015-07-01,30703
912,2015-07-02,33134
913,2015-07-03,35498
914,2015-07-04,37776
915,2015-07-05,39740
916,2015-07-06,26519
917,2015-07-07,30916
918,2015-07-08,31200
919,2015-07-09,32963
920,2015-07-10,35418
921,2015-07-11,37640
922,2015-07-12,39794
923,2015-07-13,26708
924,2015-07-14,30928
925,2015-07-15,31097
926,2015-07-16,33179
927,2015-07-17,35368
928,2015-07-18,37568
929,2015-07-19,39667
930,2015-07-20,26777
931,2015-07-21,30881
932,2015-07-22,31013
933,2015-07-23,33244
934,2015-07-24,35459
935,2015-07-25,37608
936,2015-07-26,39536
937,2015-07-27,26406
938,2015-07-28,30946
939,2015-07-29,30912
940,2015-07-30,33443
941,2015-07-31,35309
942,2015-08-01,33345
943,2015-08-02,35387
944,2015-08-03,23701
945,2015-08-04,27120
946,2015-08-05,27202
947,2015-08-06,29477
948,2015-08-07,31296
949,2015-08-08,33312
950,2015-08-09,35331
951,2015-08-10,23336
952,2015-08-11,27228
953,2015-08-12,27069
954,2015-08-13,29310
955,2015-08-14,31302
956,2015-08-15,33119
957,2015-08-16,35148
958,2015-08-17,23547
959,2015-08-18,27094
960,2015-08-19,27417
961,2015-08-20,29293
962,2015-08-21,31598
963,2015-08-22,33080
964,2015-08-23,35223
965,2015-08-24,23355
966,2015-08-25,27058
967,2015-08-26,27259
968,2015-08-27,29414
969,2015-08-28,31286
970,2015-08-29,33113
971,2015-08-30,35404
972,2015-08-31,23577
973,2015-09-01,25375
974,2015-09-02,25486
975,2015-09-03,27467
976,2015-09-04,29415
977,2015-09-05,30808
978,2015-09-06,32969
979,2015-09-07,21833
980,2015-09-08,25362
981,2015-09-09,25604
982,2015-09-10,27349
983,2015-09-11,29173
984,2015-09-12,30496
985,2015-09-13,32896
986,2015-09-14,21728
987,2015-09-15,25728
988,2015-09-16,25589
989,2015-09-17,27367
990,2015-09-18,29161
991,2015-09-19,30976
992,2015-09-20,32869
993,2015-09-21,22012
994,2015-09-22,25355
995,2015-09-23,25368
996,2015-09-24,27391
997,2015-09-25,29104
998,2015-09-26,30867
999,2015-09-27,32705
1000,2015-09-28,21847
1001,2015-09-29,25587
1002,2015-09-30,25445
1003,2015-10-01,25417
1004,2015-10-02,27127
1005,2015-10-03,28730
1006,2015-10-04,30353
1007,2015-10-05,20370
1008,2015-10-06,23618
1009,2015-10-07,23594
1010,2015-10-08,25260
1011,2015-10-09,26685
1012,2015-10-10,28478
1013,2015-10-11,30534
1014,2015-10-12,20316
1015,2015-10-13,23738
1016,2015-10-14,23548
1017,2015-10-15,25339
1018,2015-10-16,26984
1019,2015-10-17,28702
1020,2015-10-18,30511
1021,2015-10-19,20182
1022,2015-10-20,23680
1023,2015-10-21,23677
1024,2015-10-22,25347
1025,2015-10-23,27057
1026,2015-10-24,28733
1027,2015-10-25,30639
1028,2015-10-26,20188
1029,2015-10-27,23651
1030,2015-10-28,23792
1031,2015-10-29,24999
1032,2015-10-30,27160
1033,2015-10-31,28844
1034,2015-11-01,32817
1035,2015-11-02,21871
1036,2015-11-03,25586
1037,2015-11-04,25555
1038,2015-11-05,27526
1039,2015-11-06,29107
1040,2015-11-07,30781
1041,2015-11-08,32839
1042,2015-11-09,21544
1043,2015-11-10,25442
1044,2015-11-11,25533
1045,2015-11-12,27332
1046,2015-11-13,29194
1047,2015-11-14,31112
1048,2015-11-15,32854
1049,2015-11-16,21942
1050,2015-11-17,25672
1051,2015-11-18,25412
1052,2015-11-19,27287
1053,2015-11-20,29165
1054,2015-11-21,31082
1055,2015-11-22,32732
1056,2015-11-23,21653
1057,2015-11-24,25667
1058,2015-11-25,25490
1059,2015-11-26,27637
1060,2015-11-27,29359
1061,2015-11-28,30957
1062,2015-11-29,32834
1063,2015-11-30,21663
1064,2015-12-01,18016
1065,2015-12-02,18243
1066,2015-12-03,19543
1067,2015-12-04,20652
1068,2015-12-05,22237
1069,2015-12-06,23745
1070,2015-12-07,15550
1071,2015-12-08,18296
1072,2015-12-09,18273
1073,2015-12-10,19299
1074,2015-12-11,20780
1075,2015-12-12,22122
1076,2015-12-13,23290
1077,2015-12-14,15663
1078,2015-12-15,18454
1079,2015-12-16,18517
1080,2015-12-17,19401
1081,2015-12-18,20837
1082,2015-12-19,21835
1083,2015-12-20,23579
1084,2015-12-21,15669
1085,2015-12-22,18008
1086,2015-12-23,18031
1087,2015-12-24,19591
1088,2015-12-25,20877
1089,2015-12-26,22256
1090,2015-12-27,23268
1091,2015-12-28,15569
1092,2015-12-29,18403
1093,2015-12-30,18191
1094,2015-12-31,19377
1095,2016-01-01,20158
1096,2016-01-02,21280
1097,2016-01-03,22911
1098,2016-01-04,15199
1099,2016-01-05,17806
1100,2016-01-06,17789
1101,2016-01-07,19107
1102,2016-01-08,20265
1103,2016-01-09,21309
1104,2016-01-10,22811
1105,2016-01-11,15385
1106,2016-01-12,17721
1107,2016-01-13,17649
1108,2016-01-14,19287
1109,2016-01-15,20354
1110,2016-01-16,21665
1111,2016-01-17,22813
1112,2016-01-18,15100
1113,2016-01-19,17804
1114,2016-01-20,17952
1115,2016-01-21,18975
1116,2016-01-22,20243
1117,2016-01-23,21515
1118,2016-01-24,22774
1119,2016-01-25,15271
1120,2016-01-26,17794
1121,2016-01-27,18023
1122,2016-01-28,19016
1123,2016-01-29,20209
1124,2016-01-30,21535
1125,2016-01-31,22719
1126,2016-02-01,17009
1127,2016-02-02,19801
1128,2016-02-03,19773
1129,2016-02-04,20981
1130,2016-02-05,22494
1131,2016-02-06,23999
1132,2016-02-07,25046
1133,2016-02-08,17031
1134,2016-02-09,19880
1135,2016-02-10,19560
1136,2016-02-11,21257
1137,2016-02-12,22517
1138,2016-02-13,24040
1139,2016-02-14,25234
1140,2016-02-15,16911
1141,2016-02-16,19764
1142,2016-02-17,19858
1143,2016-02-18,21016
1144,2016-02-19,22721
1145,2016-02-20,23977
1146,2016-02-21,25500
1147,2016-02-22,17037
1148,2016-02-23,19798
1149,2016-02-24,19528
1150,2016-02-25,21195
1151,2016-02-26,22588
